name	length	true_count
ENST00000465916.3	779	0
ENST00000419924.2	603	0
ENST00000378295.6	5188	33
ENST00000604074.3	4806	0
ENST00000354437.6	2140	0
ENST00000357733.5	4899	0
ENST00000346387.6	4854	0
ENST00000603362.3	1668	0
ENST00000604479.3	1623	0
ENST00000378285.3	2117	0
ENST00000378280.3	2062	0
ENST00000378288.6	5120	0
ENST00000378290.4	1831	0
ENST00000294600.4	2176	0
ENST00000462521.2	2252	0
ENST00000444870.4	546	0
ENST00000452264.1	447	0
ENST00000561886.1	491	0
ENST00000378251.2	4310	24
ENST00000479239.1	434	0
ENST00000378230.5	6424	20
ENST00000438539.3	683	0
ENST00000461667.1	926	0
ENST00000443466.1	430	0
ENST00000428079.3	918	0
ENST00000378223.3	1121	0
ENST00000338895.5	3105	0
ENST00000378209.5	3028	0
ENST00000491998.3	3152	0
ENST00000468793.3	2986	0
ENST00000477548.3	2923	0
ENST00000339350.5	3005	0
ENST00000378206.3	2842	0
ENST00000475969.3	2731	0
ENST00000341385.4	572	0
ENST00000461150.1	686	0
ENST00000361605.3	1666	20
ENST00000378190.5	2383	0
ENST00000378191.4	11652	0
ENST00000622020.2	5004	0
ENST00000489180.4	5548	0
ENST00000378156.6	4994	0
ENST00000378169.5	4213	0
ENST00000466897.1	1192	0
ENST00000378111.3	822	0
ENST00000378097.3	4201	0
ENST00000378092.3	1202	0
ENST00000445501.3	486	0
ENST00000341524.3	4207	20
ENST00000352527.3	4165	74
ENST00000389632.6	959	0
ENST00000428161.3	961	0
ENST00000602612.3	2396	0
ENST00000164247.3	4273	0
ENST00000472700.4	536	0
ENST00000378083.5	4142	0
ENST00000458166.4	1336	0
ENST00000462676.2	683	0
ENST00000262450.5	9646	0
ENST00000475121.1	558	0
ENST00000462991.3	4396	0
ENST00000377999.3	3044	0
ENST00000496404.1	4966	0
ENST00000491020.1	646	0
ENST00000484532.3	449	0
ENST00000234875.6	2078	267
ENST00000497965.3	786	77
ENST00000471204.3	524	56
ENST00000465387.3	508	0
ENST00000462296.3	600	0
ENST00000465335.1	806	0
ENST00000377939.4	3924	0
ENST00000343813.7	4771	31
ENST00000489498.3	2612	0
ENST00000474756.1	1227	0
ENST00000377898.3	697	0
ENST00000377893.2	4082	0
ENST00000608083.3	1403	36
ENST00000377842.5	1813	0
ENST00000377845.5	1432	0
ENST00000377855.4	1614	0
ENST00000377860.6	1472	0
ENST00000418124.3	1564	0
ENST00000361521.6	2429	0
ENST00000545482.3	1804	0
ENST00000473466.2	868	0
ENST00000377837.3	1200	0
ENST00000377836.6	507	0
ENST00000377834.6	4262	0
ENST00000487437.3	968	0
ENST00000489730.1	730	0
ENST00000377828.3	3531	0
ENST00000418286.1	641	0
ENST00000461727.3	1869	0
ENST00000416731.3	1338	0
ENST00000478323.1	270	0
ENST00000434576.1	750	0
ENST00000485036.3	1726	0
ENST00000480393.3	1706	0
ENST00000377782.5	1632	0
ENST00000356876.5	1625	0
ENST00000351959.7	1441	0
ENST00000414040.4	1198	0
ENST00000351748.5	705	0
ENST00000348333.5	1119	0
ENST00000502588.3	952	0
ENST00000502730.3	838	0
ENST00000510563.3	1087	0
ENST00000481401.3	764	0
ENST00000377748.3	5221	0
ENST00000537245.3	4794	0
ENST00000535355.3	4725	0
ENST00000400913.3	4698	0
ENST00000340850.7	4715	0
ENST00000377725.3	3475	0
ENST00000377728.5	3613	0
ENST00000377732.3	3753	0
ENST00000400915.5	3697	0
ENST00000377740.3	3550	0
ENST00000377705.5	6649	26
ENST00000333172.8	2892	0
ENST00000351136.5	1871	0
ENST00000411823.3	1811	0
ENST00000415267.1	740	0
ENST00000328191.5	1810	0
ENST00000319084.7	1050	0
ENST00000435905.3	1001	0
ENST00000377674.6	2293	0
ENST00000488936.1	784	0
ENST00000619514.1	2449	0
ENST00000466813.1	790	0
ENST00000377658.6	4487	11
ENST00000377663.3	6445	0
ENST00000467612.3	1056	0
ENST00000610898.1	1945	0
ENST00000496707.3	824	0
ENST00000463043.1	667	0
ENST00000377648.4	3681	11
ENST00000054650.6	1366	0
ENST00000307896.8	1046	0
ENST00000377627.5	2053	0
ENST00000487819.3	840	0
ENST00000472925.1	983	0
ENST00000451196.3	1357	0
ENST00000377577.7	3311	24
ENST00000294401.9	2210	0
ENST00000426784.1	975	0
ENST00000303635.9	8444	0
ENST00000473578.3	567	0
ENST00000557126.3	486	0
ENST00000467404.4	546	0
ENST00000461311.1	431	0
ENST00000486138.1	392	0
ENST00000482934.1	743	0
ENST00000495233.3	3234	0
ENST00000490905.3	2040	0
ENST00000476864.1	714	0
ENST00000054666.8	2205	0
ENST00000470357.1	954	0
ENST00000377541.3	1524	0
ENST00000613533.2	6318	0
ENST00000614998.2	6261	0
ENST00000377532.5	6279	0
ENST00000361923.2	6203	0
ENST00000377516.4	1601	0
ENST00000361696.7	559	0
ENST00000054668.5	420	0
ENST00000615230.2	5970	0
ENST00000377507.5	1923	0
ENST00000474475.1	445	0
ENST00000492571.1	584	0
ENST00000493373.3	624	33
ENST00000338639.7	949	55
ENST00000493678.3	1088	12
ENST00000377493.7	795	0
ENST00000377491.3	977	0
ENST00000377488.3	783	0
ENST00000469225.1	711	0
ENST00000474874.3	479	0
ENST00000377482.7	3104	0
ENST00000467067.1	2097	0
ENST00000469499.3	995	0
ENST00000487559.1	787	0
ENST00000471889.3	2784	0
ENST00000289877.8	2401	0
ENST00000337907.5	8026	16
ENST00000377464.3	6733	22
ENST00000400907.4	2973	0
ENST00000476556.3	4598	0
ENST00000400908.4	5779	0
ENST00000505225.1	533	0
ENST00000464367.1	639	0
ENST00000488215.3	962	0
ENST00000464972.3	743	0
ENST00000514428.1	273	0
ENST00000468247.1	414	0
ENST00000234590.6	1783	1806
ENST00000497492.1	647	0
ENST00000489867.1	732	0
ENST00000549778.3	582	0
ENST00000480186.5	1493	0
ENST00000377443.4	1319	0
ENST00000377436.5	942	0
ENST00000377442.2	747	0
ENST00000400906.1	1539	0
ENST00000377424.6	4165	40
ENST00000377414.5	2344	0
ENST00000484798.3	684	0
ENST00000474145.3	846	0
ENST00000479813.3	758	0
ENST00000486632.3	889	0
ENST00000487835.3	755	0
ENST00000464985.3	676	0
ENST00000473209.1	455	0
ENST00000377411.4	5265	24
ENST00000465853.1	198	0
ENST00000377403.4	9146	41
ENST00000602477.1	5590	0
ENST00000328089.8	3120	0
ENST00000450402.1	822	0
ENST00000357898.3	1439	0
ENST00000377399.2	1007	0
ENST00000302692.6	3854	0
ENST00000340305.7	3851	0
ENST00000340381.8	3776	0
ENST00000416541.3	3447	0
ENST00000508400.1	893	0
ENST00000536656.3	5483	0
ENST00000377346.6	5203	103
ENST00000361110.4	3508	0
ENST00000543390.2	3503	0
ENST00000377298.6	5221	0
ENST00000435891.3	3829	40
ENST00000361311.4	4647	23
ENST00000623863.1	649	0
ENST00000377263.3	3000	0
ENST00000400904.5	1206	0
ENST00000377258.3	852	0
ENST00000377256.1	451	0
ENST00000488540.3	652	0
ENST00000377223.3	2281	0
ENST00000400903.4	1405	0
ENST00000377213.1	945	0
ENST00000403197.3	1094	0
ENST00000377205.3	3781	0
ENST00000462686.1	1804	0
ENST00000496751.1	485	0
ENST00000315901.4	861	0
ENST00000294435.7	636	0
ENST00000253251.10	4772	25
ENST00000377153.3	1273	0
ENST00000343090.8	5267	19
ENST00000470736.1	827	0
ENST00000488228.1	560	0
ENST00000377093.6	7565	0
ENST00000263934.8	6816	0
ENST00000377086.3	10669	16
ENST00000377083.3	5885	0
ENST00000377081.3	8746	0
ENST00000622724.2	8588	0
ENST00000620295.1	8624	0
ENST00000491493.3	806	0
ENST00000477958.3	508	0
ENST00000270776.10	1885	87
ENST00000483936.3	680	0
ENST00000465632.3	642	0
ENST00000460189.1	767	0
ENST00000400900.4	1469	0
ENST00000602787.3	1496	0
ENST00000470413.4	626	0
ENST00000602296.3	1383	0
ENST00000602446.1	849	0
ENST00000309048.5	896	0
ENST00000477755.1	914	0
ENST00000377049.3	1130	0
ENST00000377038.5	6032	52
ENST00000476658.3	744	0
ENST00000377036.2	1403	0
ENST00000356607.6	1985	0
ENST00000491661.2	637	0
ENST00000377022.5	7936	0
ENST00000447850.3	695	0
ENST00000344008.5	4405	0
ENST00000418570.4	2265	0
ENST00000377004.6	2761	0
ENST00000468348.1	340	0
ENST00000520253.1	2359	0
ENST00000473118.3	701	0
ENST00000240185.5	5367	14
ENST00000439080.4	1388	25
ENST00000476201.3	929	0
ENST00000472476.3	1001	0
ENST00000621715.2	816	0
ENST00000315091.5	1835	38
ENST00000473869.3	1946	0
ENST00000621790.2	1008	0
ENST00000616545.2	920	0
ENST00000622057.2	706	0
ENST00000617172.2	980	0
ENST00000611963.2	739	0
ENST00000620632.2	706	0
ENST00000619555.2	682	0
ENST00000610369.2	563	0
ENST00000614494.1	515	0
ENST00000477447.4	409	0
ENST00000620505.1	657	0
ENST00000621573.1	992	22
ENST00000496840.1	692	0
ENST00000614757.2	1793	0
ENST00000611136.2	700	0
ENST00000612542.1	554	0
ENST00000622108.1	645	0
ENST00000400897.5	2439	0
ENST00000400898.3	726	0
ENST00000376957.4	1266	87
ENST00000490101.1	461	0
ENST00000465788.1	402	0
ENST00000459997.1	731	0
ENST00000487300.1	611	0
ENST00000304457.9	2721	0
ENST00000376936.6	2808	51
ENST00000460196.1	622	0
ENST00000376838.3	4017	0
ENST00000361445.6	8677	37
ENST00000455339.1	694	0
ENST00000376819.3	2238	0
ENST00000376810.5	3646	0
ENST00000376804.2	825	0
ENST00000486588.4	831	0
ENST00000483738.1	1393	0
ENST00000294484.6	5215	0
ENST00000304391.6	1495	0
ENST00000354287.4	1560	0
ENST00000465901.1	434	0
ENST00000251546.6	1896	0
ENST00000425796.3	994	0
ENST00000376770.3	3320	0
ENST00000376768.3	959	0
ENST00000251547.7	2903	0
ENST00000376760.3	822	0
ENST00000376762.6	1734	0
ENST00000475435.3	942	0
ENST00000471895.1	769	0
ENST00000376753.6	1520	0
ENST00000449067.1	928	0
ENST00000235310.5	1860	0
ENST00000376692.6	1118	14
ENST00000376672.3	1002	0
ENST00000376669.7	864	0
ENST00000376667.5	872	0
ENST00000445656.3	678	0
ENST00000456915.1	1032	0
ENST00000294485.5	7346	0
ENST00000376637.5	1067	0
ENST00000476512.3	942	0
ENST00000400895.4	786	0
ENST00000376629.6	1100	0
ENST00000376627.4	1055	0
ENST00000314340.7	1107	0
ENST00000452018.4	809	0
ENST00000510878.1	849	0
ENST00000433342.3	4545	0
ENST00000312793.7	2624	0
ENST00000444493.3	1881	0
ENST00000449278.1	1617	0
ENST00000376592.3	7057	0
ENST00000376583.5	7044	0
ENST00000376590.5	6213	0
ENST00000376585.3	5532	0
ENST00000418034.1	1034	0
ENST00000413656.3	398	0
ENST00000423400.3	1539	0
ENST00000431243.3	870	0
ENST00000376486.2	1135	0
ENST00000312413.8	5631	0
ENST00000346436.8	5583	10
ENST00000376497.5	814	0
ENST00000376496.4	2922	0
ENST00000376480.5	855	0
ENST00000610706.1	849	0
ENST00000376476.1	728	0
ENST00000376468.3	694	0
ENST00000376572.5	2815	27
ENST00000616327.1	2170	0
ENST00000376576.3	2539	0
ENST00000449038.3	762	0
ENST00000429000.4	886	0
ENST00000196061.4	2940	56
ENST00000444836.3	4531	0
ENST00000235329.7	4539	44
ENST00000412236.1	489	0
ENST00000235332.4	1573	14
ENST00000263932.4	3686	42
ENST00000417814.3	3593	0
ENST00000514649.3	2412	0
ENST00000413146.4	2363	0
ENST00000376259.5	3683	106
ENST00000536782.1	557	0
ENST00000620676.2	16320	0
ENST00000613099.2	16245	0
ENST00000011700.8	10969	0
ENST00000466732.2	377	0
ENST00000543766.2	3838	0
ENST00000616661.2	1722	0
ENST00000464917.3	539	0
ENST00000430996.2	826	0
ENST00000376221.1	1575	0
ENST00000359318.6	3662	0
ENST00000614859.2	3549	0
ENST00000376210.3	695	0
ENST00000357726.4	1786	0
ENST00000332296.7	2160	0
ENST00000619922.1	1845	0
ENST00000355096.3	1311	0
ENST00000617044.1	1156	0
ENST00000317869.6	1108	0
ENST00000240189.2	1642	0
ENST00000235349.5	1828	0
ENST00000235347.4	1525	0
ENST00000616979.2	1592	0
ENST00000330881.6	1560	0
ENST00000376189.3	1720	0
ENST00000415464.4	1720	0
ENST00000613225.1	1600	0
ENST00000621259.2	1840	0
ENST00000624207.1	1863	0
ENST00000436041.3	1863	0
ENST00000622351.1	1699	0
ENST00000618988.2	1600	0
ENST00000614839.2	1863	0
ENST00000619661.2	1840	0
ENST00000617807.2	1148	0
ENST00000621994.2	1148	0
ENST00000323770.7	882	0
ENST00000415919.2	1863	0
ENST00000624297.1	2104	0
ENST00000622421.1	1855	0
ENST00000357367.4	1844	0
ENST00000621519.2	1706	0
ENST00000614831.1	1592	0
ENST00000613530.2	1600	0
ENST00000376152.2	1865	0
ENST00000334600.6	1690	0
ENST00000376101.2	1233	0
ENST00000376098.4	1578	0
ENST00000316412.7	1597	0
ENST00000602960.1	1502	0
ENST00000376085.3	2209	0
ENST00000294489.8	3104	0
ENST00000617617.2	2808	0
ENST00000376057.6	2801	0
ENST00000621990.2	2738	0
ENST00000506205.1	476	0
ENST00000510906.3	786	0
ENST00000509009.3	571	0
ENST00000376061.6	1368	0
ENST00000513143.3	1305	0
ENST00000487038.3	607	0
ENST00000475043.3	849	0
ENST00000488631.1	794	0
ENST00000484063.4	628	0
ENST00000376048.7	2688	0
ENST00000235372.9	7957	0
ENST00000311066.7	7437	0
ENST00000491134.3	1100	0
ENST00000413440.3	6175	42
ENST00000343137.6	5797	0
ENST00000503842.3	705	0
ENST00000407521.5	513	0
ENST00000505823.3	568	0
ENST00000487453.1	646	0
ENST00000376030.4	6030	0
ENST00000503743.3	1475	0
ENST00000361144.7	3838	0
ENST00000376028.6	800	0
ENST00000400798.4	3643	0
ENST00000400797.3	1295	0
ENST00000428417.3	1942	0
ENST00000376014.5	1843	0
ENST00000451326.4	766	0
ENST00000400796.5	1842	0
ENST00000434578.4	1844	0
ENST00000376008.2	1931	0
ENST00000424792.3	255	0
ENST00000376005.3	441	0
ENST00000358897.6	5090	0
ENST00000433640.4	570	0
ENST00000375998.6	4355	0
ENST00000375997.6	1459	0
ENST00000524761.3	378	0
ENST00000375995.3	785	0
ENST00000444385.3	3481	0
ENST00000529606.3	2434	0
ENST00000314668.11	2657	0
ENST00000481324.3	2338	0
ENST00000375980.6	2419	29
ENST00000445566.1	899	0
ENST00000375949.4	898	0
ENST00000375943.4	3147	0
ENST00000359621.4	919	0
ENST00000375910.5	923	0
ENST00000422901.1	377	0
ENST00000546424.3	4463	0
ENST00000333868.7	2019	0
ENST00000348549.7	1621	0
ENST00000400777.5	1878	0
ENST00000424908.3	740	0
ENST00000375890.6	1351	0
ENST00000474305.2	1111	0
ENST00000447522.3	954	0
ENST00000440484.1	781	0
ENST00000469637.1	725	0
ENST00000375838.3	2357	0
ENST00000375847.5	6069	0
ENST00000475133.3	6299	0
ENST00000375849.3	3446	0
ENST00000616884.2	5882	0
ENST00000472665.1	445	0
ENST00000375826.3	2476	0
ENST00000480945.3	10625	52
ENST00000320153.8	2076	0
ENST00000483899.1	497	0
ENST00000345034.1	1854	0
ENST00000375799.5	4122	0
ENST00000375793.2	4004	30
ENST00000294454.5	2986	0
ENST00000375782.1	1520	0
ENST00000496928.4	611	0
ENST00000508310.3	611	0
ENST00000510393.3	576	0
ENST00000430076.3	507	0
ENST00000375771.3	3498	0
ENST00000510929.3	511	0
ENST00000502638.3	582	0
ENST00000375766.5	3695	0
ENST00000483633.4	571	0
ENST00000502739.3	562	0
ENST00000431771.4	577	0
ENST00000441801.4	1522	0
ENST00000332305.5	1530	0
ENST00000483273.2	2165	0
ENST00000375759.5	12232	84
ENST00000438066.1	1733	0
ENST00000442985.1	891	0
ENST00000440560.3	731	0
ENST00000375743.6	2745	18
ENST00000537142.3	2511	0
ENST00000375733.4	2770	0
ENST00000444358.1	722	0
ENST00000329454.2	3039	0
ENST00000411503.3	2128	0
ENST00000311890.11	2892	0
ENST00000375718.4	2415	0
ENST00000463576.3	581	0
ENST00000487046.1	844	0
ENST00000406363.2	648	0
ENST00000375692.3	2581	0
ENST00000439316.4	1997	0
ENST00000331433.4	2475	0
ENST00000619181.2	1544	0
ENST00000375679.6	2567	0
ENST00000375667.5	2129	0
ENST00000431772.1	464	0
ENST00000375662.4	1695	0
ENST00000358432.7	3964	0
ENST00000611929.1	3963	0
ENST00000270747.5	3029	0
ENST00000449495.1	921	0
ENST00000441785.1	582	0
ENST00000375599.5	1545	0
ENST00000434014.1	336	0
ENST00000375592.5	6202	24
ENST00000456164.3	1153	0
ENST00000444116.1	945	0
ENST00000401088.6	3636	17
ENST00000471507.3	892	0
ENST00000401089.3	3447	59
ENST00000476423.3	567	0
ENST00000492354.1	3401	36
ENST00000491418.3	661	0
ENST00000335496.3	2015	0
ENST00000540400.1	1773	0
ENST00000375577.3	1136	0
ENST00000612240.1	603	0
ENST00000337132.7	2070	40
ENST00000504551.4	768	0
ENST00000457722.4	935	0
ENST00000443980.4	1929	0
ENST00000504858.3	727	0
ENST00000492095.3	1787	0
ENST00000459640.3	981	0
ENST00000513161.1	713	0
ENST00000600179.2	510	0
ENST00000430580.4	5932	0
ENST00000432949.3	4176	0
ENST00000392963.5	2672	0
ENST00000434336.2	510	0
ENST00000624031.1	511	0
ENST00000375541.7	6656	0
ENST00000445545.4	3931	0
ENST00000467938.3	2515	0
ENST00000467715.2	614	0
ENST00000375534.5	970	0
ENST00000375535.3	1260	0
ENST00000326735.10	3840	0
ENST00000341676.7	3681	0
ENST00000452699.3	3981	0
ENST00000502418.1	1201	0
